time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-15 00:00:00+00:00,1,1,48,13
2022-06-16 00:00:00+00:00,4,2,81,23
2022-06-17 00:00:00+00:00,1,1,27,15
2022-06-18 00:00:00+00:00,1,1,2,2
2022-06-19 00:00:00+00:00,1,1,12,7
2022-06-20 00:00:00+00:00,1,1,69,40
2022-06-21 00:00:00+00:00,1,1,121,49
2022-06-22 00:00:00+00:00,2,2,90,20
2022-06-23 00:00:00+00:00,1,1,74,29
2022-06-24 00:00:00+00:00,1,1,35,21
2022-06-25 00:00:00+00:00,1,1,1,1
2022-06-26 00:00:00+00:00,1,1,8,5
2022-06-27 00:00:00+00:00,1,1,63,25
2022-06-28 00:00:00+00:00,3,3,61,22
2022-06-29 00:00:00+00:00,33,19,203,39
2022-06-30 00:00:00+00:00,5,5,77,27
2022-07-01 00:00:00+00:00,4,4,24,17
2022-07-02 00:00:00+00:00,4,4,14,5
2022-07-03 00:00:00+00:00,3,3,25,5
2022-07-04 00:00:00+00:00,5,5,58,21
2022-07-05 00:00:00+00:00,5,5,228,29
2022-07-06 00:00:00+00:00,5,5,82,23
2022-07-07 00:00:00+00:00,5,5,79,22
2022-07-08 00:00:00+00:00,5,4,69,28
2022-07-09 00:00:00+00:00,4,4,6,4
2022-07-10 00:00:00+00:00,3,3,4,2
2022-07-11 00:00:00+00:00,3,3,67,23
2022-07-12 00:00:00+00:00,3,3,58,26
2022-07-13 00:00:00+00:00,4,4,68,19
2022-07-14 00:00:00+00:00,5,5,65,21
2022-07-15 00:00:00+00:00,4,4,23,12
2022-07-16 00:00:00+00:00,4,4,7,5
2022-07-17 00:00:00+00:00,3,3,16,4
2022-07-18 00:00:00+00:00,3,3,58,23
2022-07-19 00:00:00+00:00,3,3,62,19
2022-07-20 00:00:00+00:00,3,3,58,16
2022-07-21 00:00:00+00:00,5,5,91,24
2022-07-22 00:00:00+00:00,4,4,39,20
2022-07-23 00:00:00+00:00,3,3,26,8
2022-07-24 00:00:00+00:00,6,6,8,5
2022-07-25 00:00:00+00:00,3,3,36,13
2022-07-26 00:00:00+00:00,5,5,630,74
2022-07-27 00:00:00+00:00,4,4,981,142
2022-07-28 00:00:00+00:00,9,7,304,127
2022-07-29 00:00:00+00:00,4,4,185,68
2022-07-30 00:00:00+00:00,4,4,39,18
2022-07-31 00:00:00+00:00,4,4,66,23
2022-08-01 00:00:00+00:00,4,4,253,89
2022-08-02 00:00:00+00:00,4,4,161,69
2022-08-03 00:00:00+00:00,6,5,135,50
2022-08-04 00:00:00+00:00,3,3,220,88
2022-08-05 00:00:00+00:00,4,4,111,50
2022-08-06 00:00:00+00:00,6,5,39,15
2022-08-07 00:00:00+00:00,4,4,45,22
2022-08-08 00:00:00+00:00,5,5,167,62
2022-08-09 00:00:00+00:00,5,5,136,43
2022-08-10 00:00:00+00:00,4,4,82,38
2022-08-11 00:00:00+00:00,3,3,61,31
2022-08-12 00:00:00+00:00,4,4,106,45
2022-08-13 00:00:00+00:00,3,3,9,7
2022-08-14 00:00:00+00:00,4,4,44,15
2022-08-15 00:00:00+00:00,3,3,125,48
2022-08-16 00:00:00+00:00,7,5,198,63
2022-08-17 00:00:00+00:00,4,4,647,278
2022-08-18 00:00:00+00:00,5,5,199,83
2022-08-19 00:00:00+00:00,4,4,167,59
2022-08-20 00:00:00+00:00,3,3,25,12
2022-08-21 00:00:00+00:00,3,3,31,19
2022-08-22 00:00:00+00:00,3,3,134,72
2022-08-23 00:00:00+00:00,3,3,172,71
2022-08-24 00:00:00+00:00,3,3,110,44
2022-08-25 00:00:00+00:00,4,4,54,30
2022-08-26 00:00:00+00:00,6,6,63,37
2022-08-27 00:00:00+00:00,4,4,12,7
2022-08-28 00:00:00+00:00,3,3,35,18
2022-08-29 00:00:00+00:00,3,3,113,52
2022-08-30 00:00:00+00:00,3,3,110,45
2022-08-31 00:00:00+00:00,5,5,64,32
2022-09-01 00:00:00+00:00,4,4,91,40
2022-09-02 00:00:00+00:00,3,3,53,28
2022-09-03 00:00:00+00:00,3,3,23,9
2022-09-04 00:00:00+00:00,5,5,23,11
2022-09-05 00:00:00+00:00,3,3,83,33
2022-09-06 00:00:00+00:00,3,3,99,43
2022-09-07 00:00:00+00:00,3,3,52,32
2022-09-08 00:00:00+00:00,5,4,102,40
2022-09-09 00:00:00+00:00,4,4,57,31
2022-09-10 00:00:00+00:00,3,3,10,8
2022-09-11 00:00:00+00:00,3,3,13,10
2022-09-12 00:00:00+00:00,4,4,77,35
2022-09-13 00:00:00+00:00,4,4,122,50
2022-09-14 00:00:00+00:00,5,5,156,50
2022-09-15 00:00:00+00:00,4,4,173,52
2022-09-16 00:00:00+00:00,3,3,84,38
2022-09-17 00:00:00+00:00,4,4,24,8
2022-09-18 00:00:00+00:00,3,3,53,13
2022-09-19 00:00:00+00:00,3,3,112,53
2022-09-20 00:00:00+00:00,3,3,145,55
2022-09-21 00:00:00+00:00,3,3,127,44
2022-09-22 00:00:00+00:00,3,3,106,47
2022-09-23 00:00:00+00:00,4,4,107,57
2022-09-24 00:00:00+00:00,4,4,41,11
2022-09-25 00:00:00+00:00,4,4,12,9
2022-09-26 00:00:00+00:00,3,3,92,43
2022-09-27 00:00:00+00:00,4,4,70,34
2022-09-28 00:00:00+00:00,4,4,100,36
2022-09-29 00:00:00+00:00,3,3,101,46
2022-09-30 00:00:00+00:00,5,4,85,29
2022-10-01 00:00:00+00:00,4,4,9,6
2022-10-02 00:00:00+00:00,3,3,27,6
2022-10-03 00:00:00+00:00,3,3,87,39
2022-10-04 00:00:00+00:00,3,3,84,39
2022-10-05 00:00:00+00:00,3,3,108,40
2022-10-06 00:00:00+00:00,4,4,105,47
2022-10-07 00:00:00+00:00,5,4,75,26
2022-10-08 00:00:00+00:00,5,5,14,8
2022-10-09 00:00:00+00:00,4,4,14,9
2022-10-10 00:00:00+00:00,4,4,81,28
2022-10-11 00:00:00+00:00,3,3,79,38
2022-10-12 00:00:00+00:00,4,4,142,53
2022-10-13 00:00:00+00:00,3,3,70,35
2022-10-14 00:00:00+00:00,6,5,95,28
2022-10-15 00:00:00+00:00,4,4,25,8
2022-10-16 00:00:00+00:00,4,4,12,11
2022-10-17 00:00:00+00:00,4,4,78,35
2022-10-18 00:00:00+00:00,3,3,104,60
2022-10-19 00:00:00+00:00,3,3,87,44
2022-10-20 00:00:00+00:00,3,3,155,67
2022-10-21 00:00:00+00:00,4,4,94,43
2022-10-22 00:00:00+00:00,4,4,6,3
2022-10-23 00:00:00+00:00,3,3,36,14
2022-10-24 00:00:00+00:00,4,4,88,43
2022-10-25 00:00:00+00:00,7,7,122,51
2022-10-26 00:00:00+00:00,3,3,173,98
2022-10-27 00:00:00+00:00,4,4,147,59
2022-10-28 00:00:00+00:00,5,5,76,27
2022-10-29 00:00:00+00:00,3,3,31,13
2022-10-30 00:00:00+00:00,3,3,21,9
2022-10-31 00:00:00+00:00,3,3,80,38
2022-11-01 00:00:00+00:00,5,5,102,46
2022-11-02 00:00:00+00:00,6,6,113,46
2022-11-03 00:00:00+00:00,5,5,107,39
2022-11-04 00:00:00+00:00,3,3,80,44
2022-11-05 00:00:00+00:00,3,3,11,5
2022-11-06 00:00:00+00:00,3,3,12,7
2022-11-07 00:00:00+00:00,6,6,145,51
2022-11-08 00:00:00+00:00,2,2,149,44
2022-11-09 00:00:00+00:00,8,8,96,49
2022-11-10 00:00:00+00:00,3,3,90,36
2022-11-11 00:00:00+00:00,4,4,104,40
2022-11-12 00:00:00+00:00,4,4,19,8
2022-11-13 00:00:00+00:00,3,3,50,10
2022-11-14 00:00:00+00:00,5,5,81,34
2022-11-15 00:00:00+00:00,3,3,64,32
2022-11-16 00:00:00+00:00,3,3,127,62
2022-11-17 00:00:00+00:00,3,3,102,44
2022-11-18 00:00:00+00:00,3,3,101,45
2022-11-19 00:00:00+00:00,3,3,22,8
2022-11-20 00:00:00+00:00,4,4,11,8
2022-11-21 00:00:00+00:00,3,3,115,45
2022-11-22 00:00:00+00:00,5,5,82,30
2022-11-23 00:00:00+00:00,3,3,73,36
2022-11-24 00:00:00+00:00,4,4,60,31
2022-11-25 00:00:00+00:00,3,3,52,30
2022-11-26 00:00:00+00:00,3,3,9,8
2022-11-27 00:00:00+00:00,3,3,32,11
2022-11-28 00:00:00+00:00,3,3,65,31
2022-11-29 00:00:00+00:00,4,4,107,43
2022-11-30 00:00:00+00:00,3,3,110,44
2022-12-01 00:00:00+00:00,4,4,174,74
2022-12-02 00:00:00+00:00,4,4,87,40
2022-12-03 00:00:00+00:00,3,3,22,9
2022-12-04 00:00:00+00:00,3,3,26,10
2022-12-05 00:00:00+00:00,4,4,152,54
2022-12-06 00:00:00+00:00,7,5,115,60
2022-12-07 00:00:00+00:00,7,5,81,39
2022-12-08 00:00:00+00:00,4,4,95,32
2022-12-09 00:00:00+00:00,3,3,72,27
2022-12-10 00:00:00+00:00,3,3,26,13
2022-12-11 00:00:00+00:00,3,3,25,8
2022-12-12 00:00:00+00:00,4,4,109,33
2022-12-13 00:00:00+00:00,4,4,76,29
2022-12-14 00:00:00+00:00,3,3,134,48
2022-12-15 00:00:00+00:00,5,5,72,31
2022-12-16 00:00:00+00:00,3,3,63,32
2022-12-17 00:00:00+00:00,4,4,8,7
2022-12-18 00:00:00+00:00,3,3,34,5
2022-12-19 00:00:00+00:00,3,3,58,41
2022-12-20 00:00:00+00:00,6,6,71,37
2022-12-21 00:00:00+00:00,3,3,80,53
2022-12-22 00:00:00+00:00,4,4,96,42
2022-12-23 00:00:00+00:00,4,4,172,71
2022-12-24 00:00:00+00:00,4,4,44,19
2022-12-25 00:00:00+00:00,3,3,29,12
2022-12-26 00:00:00+00:00,3,3,42,30
2022-12-27 00:00:00+00:00,5,5,175,49
2022-12-28 00:00:00+00:00,3,3,117,47
2022-12-29 00:00:00+00:00,3,3,147,53
2022-12-30 00:00:00+00:00,4,4,91,43
2022-12-31 00:00:00+00:00,3,3,26,10
2023-01-01 00:00:00+00:00,3,3,27,10
2023-01-02 00:00:00+00:00,3,3,113,40
2023-01-03 00:00:00+00:00,9,7,277,105
2023-01-04 00:00:00+00:00,5,5,290,124
2023-01-05 00:00:00+00:00,6,5,283,118
2023-01-06 00:00:00+00:00,7,6,217,77
2023-01-07 00:00:00+00:00,4,4,52,24
2023-01-08 00:00:00+00:00,6,6,49,21
2023-01-09 00:00:00+00:00,4,4,133,63
2023-01-10 00:00:00+00:00,7,7,172,76
2023-01-11 00:00:00+00:00,4,4,177,62
2023-01-12 00:00:00+00:00,4,4,221,76
2023-01-13 00:00:00+00:00,3,3,272,63
2023-01-14 00:00:00+00:00,5,5,46,21
2023-01-15 00:00:00+00:00,5,5,39,22
2023-01-16 00:00:00+00:00,6,6,121,52
2023-01-17 00:00:00+00:00,4,4,215,81
2023-01-18 00:00:00+00:00,5,5,203,81
2023-01-19 00:00:00+00:00,13,8,206,75
2023-01-20 00:00:00+00:00,5,5,135,50
2023-01-21 00:00:00+00:00,3,3,28,14
2023-01-22 00:00:00+00:00,4,4,46,22
2023-01-23 00:00:00+00:00,5,5,168,76
2023-01-24 00:00:00+00:00,6,4,153,54
2023-01-25 00:00:00+00:00,9,6,174,63
2023-01-26 00:00:00+00:00,8,5,138,57
2023-01-27 00:00:00+00:00,8,6,90,41
2023-01-28 00:00:00+00:00,6,4,12,11
2023-01-29 00:00:00+00:00,6,4,56,20
2023-01-30 00:00:00+00:00,7,5,229,70
2023-01-31 00:00:00+00:00,8,5,146,65
2023-02-01 00:00:00+00:00,7,4,235,100
2023-02-02 00:00:00+00:00,8,5,244,104
2023-02-03 00:00:00+00:00,10,7,182,61
2023-02-04 00:00:00+00:00,3,3,60,25
2023-02-05 00:00:00+00:00,8,4,40,13
2023-02-06 00:00:00+00:00,4,4,276,78
2023-02-07 00:00:00+00:00,10,4,330,121
2023-02-08 00:00:00+00:00,9,6,139,78
2023-02-09 00:00:00+00:00,5,5,151,70
2023-02-10 00:00:00+00:00,13,7,166,74
2023-02-11 00:00:00+00:00,5,5,60,21
2023-02-12 00:00:00+00:00,4,4,110,39
2023-02-13 00:00:00+00:00,7,7,182,70
2023-02-14 00:00:00+00:00,5,5,147,67
2023-02-15 00:00:00+00:00,4,4,110,64
2023-02-16 00:00:00+00:00,5,4,147,72
2023-02-17 00:00:00+00:00,4,4,98,52
2023-02-18 00:00:00+00:00,2,2,37,17
2023-02-19 00:00:00+00:00,3,3,34,19
2023-02-20 00:00:00+00:00,5,5,141,58
2023-02-21 00:00:00+00:00,3,3,152,68
2023-02-22 00:00:00+00:00,4,4,189,69
2023-02-23 00:00:00+00:00,5,5,205,79
2023-02-24 00:00:00+00:00,5,5,142,63
2023-02-25 00:00:00+00:00,3,3,32,15
2023-02-26 00:00:00+00:00,3,3,41,28
2023-02-27 00:00:00+00:00,3,3,216,97
2023-02-28 00:00:00+00:00,5,5,164,60
2023-03-01 00:00:00+00:00,5,5,206,75
2023-03-02 00:00:00+00:00,7,6,181,80
2023-03-03 00:00:00+00:00,4,4,130,67
2023-03-04 00:00:00+00:00,4,4,30,16
2023-03-05 00:00:00+00:00,3,3,64,27
2023-03-06 00:00:00+00:00,6,6,205,77
2023-03-07 00:00:00+00:00,5,5,191,73
2023-03-08 00:00:00+00:00,6,6,203,75
2023-03-09 00:00:00+00:00,6,6,207,72
2023-03-10 00:00:00+00:00,4,4,116,63
2023-03-11 00:00:00+00:00,4,4,35,18
2023-03-12 00:00:00+00:00,6,5,38,20
2023-03-13 00:00:00+00:00,4,4,169,79
2023-03-14 00:00:00+00:00,5,5,192,74
2023-03-15 00:00:00+00:00,4,4,170,76
2023-03-16 00:00:00+00:00,3,3,124,61
2023-03-17 00:00:00+00:00,5,4,91,51
2023-03-18 00:00:00+00:00,3,3,31,13
2023-03-19 00:00:00+00:00,4,4,28,19
2023-03-20 00:00:00+00:00,8,7,192,78
2023-03-21 00:00:00+00:00,4,4,166,60
2023-03-22 00:00:00+00:00,3,3,133,68
2023-03-23 00:00:00+00:00,6,5,264,82
2023-03-24 00:00:00+00:00,4,4,181,73
2023-03-25 00:00:00+00:00,3,3,53,14
2023-03-26 00:00:00+00:00,3,3,62,25
2023-03-27 00:00:00+00:00,5,5,186,89
2023-03-28 00:00:00+00:00,3,3,284,93
2023-03-29 00:00:00+00:00,6,5,214,97
2023-03-30 00:00:00+00:00,3,3,174,80
2023-03-31 00:00:00+00:00,3,3,118,60
2023-04-01 00:00:00+00:00,5,5,33,13
2023-04-02 00:00:00+00:00,4,4,38,22
2023-04-03 00:00:00+00:00,5,5,183,70
2023-04-04 00:00:00+00:00,3,3,127,65
2023-04-05 00:00:00+00:00,4,4,148,68
2023-04-06 00:00:00+00:00,4,4,168,77
2023-04-07 00:00:00+00:00,4,4,90,50
2023-04-08 00:00:00+00:00,4,4,11,9
2023-04-09 00:00:00+00:00,4,4,48,21
2023-04-10 00:00:00+00:00,5,5,120,64
2023-04-11 00:00:00+00:00,4,4,185,63
2023-04-12 00:00:00+00:00,4,4,126,60
2023-04-13 00:00:00+00:00,3,3,179,70
2023-04-14 00:00:00+00:00,3,3,191,56
2023-04-15 00:00:00+00:00,3,3,23,12
2023-04-16 00:00:00+00:00,4,4,25,18
2023-04-17 00:00:00+00:00,4,4,173,69
2023-04-18 00:00:00+00:00,6,5,153,81
2023-04-19 00:00:00+00:00,5,4,212,79
2023-04-20 00:00:00+00:00,5,4,201,81
2023-04-21 00:00:00+00:00,5,4,143,55
2023-04-22 00:00:00+00:00,5,4,30,14
2023-04-23 00:00:00+00:00,6,5,76,21
2023-04-24 00:00:00+00:00,6,5,163,57
2023-04-25 00:00:00+00:00,13,6,171,69
2023-04-26 00:00:00+00:00,7,6,147,73
2023-04-27 00:00:00+00:00,11,7,196,82
2023-04-28 00:00:00+00:00,5,4,80,48
2023-04-29 00:00:00+00:00,6,5,39,17
2023-04-30 00:00:00+00:00,6,5,28,12
2023-05-01 00:00:00+00:00,6,5,144,49
2023-05-02 00:00:00+00:00,5,4,149,74
2023-05-03 00:00:00+00:00,5,4,173,75
2023-05-04 00:00:00+00:00,5,4,179,64
2023-05-05 00:00:00+00:00,5,4,149,43
2023-05-06 00:00:00+00:00,7,6,35,12
2023-05-07 00:00:00+00:00,5,4,90,22
2023-05-08 00:00:00+00:00,6,5,182,77
2023-05-09 00:00:00+00:00,6,4,193,78
2023-05-10 00:00:00+00:00,6,5,133,69
2023-05-11 00:00:00+00:00,5,4,195,71
2023-05-12 00:00:00+00:00,5,4,113,62
2023-05-13 00:00:00+00:00,8,6,29,7
2023-05-14 00:00:00+00:00,6,5,36,13
2023-05-15 00:00:00+00:00,8,6,231,73
2023-05-16 00:00:00+00:00,8,7,170,75
2023-05-17 00:00:00+00:00,7,6,267,72
2023-05-18 00:00:00+00:00,6,5,185,65
2023-05-19 00:00:00+00:00,9,7,156,61
2023-05-20 00:00:00+00:00,5,4,25,8
2023-05-21 00:00:00+00:00,8,6,64,27
2023-05-22 00:00:00+00:00,8,7,115,54
2023-05-23 00:00:00+00:00,5,4,187,68
2023-05-24 00:00:00+00:00,5,4,251,77
2023-05-25 00:00:00+00:00,5,4,240,82
2023-05-26 00:00:00+00:00,6,5,188,68
2023-05-27 00:00:00+00:00,5,4,9,8
2023-05-28 00:00:00+00:00,6,5,40,20
2023-05-29 00:00:00+00:00,6,5,109,42
2023-05-30 00:00:00+00:00,8,6,228,71
2023-05-31 00:00:00+00:00,9,7,159,58
2023-06-01 00:00:00+00:00,8,6,220,64
2023-06-02 00:00:00+00:00,10,7,144,51
2023-06-03 00:00:00+00:00,10,8,51,15
2023-06-04 00:00:00+00:00,5,4,31,15
2023-06-05 00:00:00+00:00,8,7,179,54
2023-06-06 00:00:00+00:00,6,5,177,71
2023-06-07 00:00:00+00:00,7,5,184,64
2023-06-08 00:00:00+00:00,7,6,253,91
2023-06-09 00:00:00+00:00,7,6,161,52
2023-06-10 00:00:00+00:00,8,6,18,10
2023-06-11 00:00:00+00:00,6,5,27,6
2023-06-12 00:00:00+00:00,7,6,137,62
2023-06-13 00:00:00+00:00,6,5,225,89
2023-06-14 00:00:00+00:00,7,6,238,100
2023-06-15 00:00:00+00:00,8,6,155,65
2023-06-16 00:00:00+00:00,5,4,160,45
2023-06-17 00:00:00+00:00,8,6,42,18
2023-06-18 00:00:00+00:00,6,5,42,12
2023-06-19 00:00:00+00:00,7,6,148,57
2023-06-20 00:00:00+00:00,6,5,174,79
2023-06-21 00:00:00+00:00,4,4,248,92
2023-06-22 00:00:00+00:00,12,8,270,102
2023-06-23 00:00:00+00:00,10,7,220,72
2023-06-24 00:00:00+00:00,5,4,15,8
2023-06-25 00:00:00+00:00,5,4,81,15
2023-06-26 00:00:00+00:00,9,7,252,84
2023-06-27 00:00:00+00:00,5,5,159,59
2023-06-28 00:00:00+00:00,5,4,302,91
2023-06-29 00:00:00+00:00,7,6,138,57
2023-06-30 00:00:00+00:00,7,6,156,42
2023-07-01 00:00:00+00:00,6,5,78,9
2023-07-02 00:00:00+00:00,7,6,113,21
2023-07-03 00:00:00+00:00,6,5,198,70
2023-07-04 00:00:00+00:00,5,4,153,50
2023-07-05 00:00:00+00:00,5,4,146,52
2023-07-06 00:00:00+00:00,7,5,246,60
2023-07-07 00:00:00+00:00,5,4,243,48
2023-07-08 00:00:00+00:00,6,5,83,17
2023-07-09 00:00:00+00:00,5,4,57,8
2023-07-10 00:00:00+00:00,8,7,304,58
2023-07-11 00:00:00+00:00,5,4,430,81
2023-07-12 00:00:00+00:00,7,6,593,83
2023-07-13 00:00:00+00:00,5,4,347,66
2023-07-14 00:00:00+00:00,9,8,261,47
2023-07-15 00:00:00+00:00,7,6,19,5
2023-07-16 00:00:00+00:00,5,4,36,12
2023-07-17 00:00:00+00:00,7,6,290,54
2023-07-18 00:00:00+00:00,5,4,343,67
2023-07-19 00:00:00+00:00,6,6,270,69
2023-07-20 00:00:00+00:00,5,4,480,91
